539.5	9.991
540	9.949
540.5	9.939
541	9.973
541.5	10.025
542	10.099
542.5	10.166
543	10.213
543.5	10.262
544	10.312
544.5	10.371
545	10.421
545.5	10.456
546	10.488
546.5	10.511
547	10.526
547.5	10.56
548	10.596
548.5	10.65
549	10.719
549.5	10.774
550	10.806
550.5	10.828
551	10.838
551.5	10.841
552	10.864
552.5	10.919
553	10.965
553.5	11.004
554	11.041
554.5	11.073
555	11.113
555.5	11.164
556	11.195
556.5	11.192
557	11.19
557.5	11.188
558	11.165
558.5	11.137
559	11.112
559.5	11.111
560	11.148
560.5	11.196
561	11.255
561.5	11.309
562	11.355
562.5	11.406
563	11.448
563.5	11.459
564	11.467
564.5	11.459
565	11.44
565.5	11.434
566	11.438
566.5	11.439
567	11.444
567.5	11.445
568	11.456
568.5	11.487
569	11.519
569.5	11.542
570	11.553
570.5	11.549
571	11.556
571.5	11.585
572	11.609
572.5	11.645
573	11.694
573.5	11.74
574	11.781
574.5	11.797
575	11.802
575.5	11.8
576	11.795
576.5	11.815
577	11.84
577.5	11.874
578	11.921
578.5	11.954
579	11.973
579.5	11.996
580	12.027
580.5	12.064
581	12.116
581.5	12.182
582	12.234
582.5	12.263
583	12.281
583.5	12.284
584	12.304
584.5	12.337
585	12.359
585.5	12.378
586	12.393
586.5	12.407
587	12.426
587.5	12.435
588	12.427
588.5	12.427
589	12.427
589.5	12.452
590	12.496
590.5	12.536
591	12.573
591.5	12.614
592	12.658
592.5	12.686
593	12.705
593.5	12.701
594	12.698
594.5	12.715
595	12.736
595.5	12.765
596	12.803
596.5	12.854
597	12.912
597.5	12.953
598	12.978
598.5	12.999
599	13.013
599.5	13.03
600	13.031
600.5	13.009
601	13.005
601.5	13.027
602	13.069
602.5	13.134
603	13.18
603.5	13.228
604	13.271
604.5	13.31
605	13.339
605.5	13.364
606	13.401
606.5	13.414
607	13.43
607.5	13.441
608	13.439
608.5	13.455
609	13.474
609.5	13.481
610	13.488
610.5	13.5
611	13.52
611.5	13.543
612	13.572
612.5	13.595
613	13.62
613.5	13.67
614	13.718
614.5	13.758
615	13.774
615.5	13.779
616	13.784
616.5	13.786
617	13.813
617.5	13.848
618	13.881
618.5	13.95
619	14.012
619.5	14.058
620	14.118
620.5	14.155
621	14.186
621.5	14.21
622	14.216
622.5	14.238
623	14.283
623.5	14.34
624	14.385
624.5	14.387
625	14.338
625.5	14.314
626	14.334
626.5	14.398
627	14.515
627.5	14.604
628	14.637
628.5	14.634
629	14.619
629.5	14.63
630	14.667
630.5	14.73
631	14.774
631.5	14.786
632	14.794
632.5	14.809
633	14.841
633.5	14.865
634	14.894
634.5	14.938
635	14.98
635.5	15.021
636	15.065
636.5	15.075
637	15.074
637.5	15.096
638	15.132
638.5	15.185
639	15.236
639.5	15.265
640	15.291
640.5	15.328
641	15.388
641.5	15.435
642	15.449
642.5	15.462
643	15.458
643.5	15.498
644	15.539
644.5	15.538
645	15.537
645.5	15.52
646	15.52
646.5	15.552
647	15.593
647.5	15.638
648	15.68
648.5	15.7
649	15.709
649.5	15.746
650	15.796
650.5	15.873
651	15.934
651.5	15.959
652	15.966
652.5	15.947
653	15.98
653.5	16.049
654	16.134
654.5	16.202
655	16.213
655.5	16.211
656	16.196
656.5	16.235
657	16.29
657.5	16.323
658	16.359
658.5	16.351
659	16.34
659.5	16.355
660	16.375
660.5	16.4
661	16.451
661.5	16.487
662	16.498
662.5	16.541
663	16.577
663.5	16.627
664	16.715
664.5	16.785
665	16.827
665.5	16.84
666	16.841
666.5	16.845
667	16.853
667.5	16.845
668	16.81
668.5	16.78
669	16.795
669.5	16.84
670	16.93
670.5	16.987
671	17.011
671.5	17.054
672	17.081
672.5	17.153
673	17.223
673.5	17.258
674	17.293
674.5	17.333
675	17.359
675.5	17.392
676	17.41
676.5	17.378
677	17.347
677.5	17.344
678	17.374
678.5	17.442
679	17.538
679.5	17.608
680	17.615
680.5	17.632
681	17.657
681.5	17.66
682	17.712
682.5	17.762
683	17.791
683.5	17.85
684	17.867
684.5	17.871
685	17.901
685.5	17.906
686	17.977
686.5	18.081
687	18.115
687.5	18.133
688	18.132
688.5	18.141
689	18.191
689.5	18.256
690	18.306
690.5	18.337
691	18.37
691.5	18.424
692	18.474
692.5	18.486
693	18.517
693.5	18.594
694	18.702
694.5	18.819
695	18.918
695.5	18.951
696	18.931
696.5	18.917
697	18.94
697.5	18.956
698	18.99
698.5	19.049
699	19.07
699.5	19.132
700	19.215
700.5	19.27
701	19.319
701.5	19.356
702	19.387
702.5	19.436
703	19.51
703.5	19.598
704	19.677
704.5	19.73
705	19.783
705.5	19.843
706	19.887
706.5	19.934
707	19.979
707.5	19.987
708	20.019
708.5	20.094
709	20.147
709.5	20.201
710	20.256
710.5	20.287
711	20.33
711.5	20.393
712	20.452
712.5	20.51
713	20.533
713.5	20.547
714	20.576
714.5	20.612
715	20.675
715.5	20.749
716	20.794
716.5	20.815
717	20.883
717.5	20.961
718	21.072
718.5	21.232
719	21.324
719.5	21.356
720	21.367
720.5	21.374
721	21.404
721.5	21.452
722	21.513
722.5	21.563
723	21.616
723.5	21.683
724	21.751
724.5	21.839
725	21.939
725.5	22.03
726	22.127
726.5	22.197
727	22.258
727.5	22.314
728	22.367
728.5	22.432
729	22.488
729.5	22.541
730	22.636
730.5	22.715
731	22.785
731.5	22.84
732	22.883
732.5	22.939
733	22.98
733.5	23.029
734	23.058
734.5	23.066
735	23.112
735.5	23.19
736	23.285
736.5	23.378
737	23.436
737.5	23.472
738	23.532
738.5	23.613
739	23.713
739.5	23.812
740	23.901
740.5	23.994
741	24.041
741.5	24.071
742	24.083
742.5	24.046
743	24.042
743.5	24.108
744	24.211
744.5	24.302
745	24.391
745.5	24.428
746	24.442
746.5	24.486
747	24.532
747.5	24.606
748	24.673
748.5	24.71
749	24.781
749.5	24.878
750	25.003
750.5	25.128
751	25.201
751.5	25.256
752	25.304
752.5	25.312
753	25.347
753.5	25.369
754	25.383
754.5	25.471
755	25.543
755.5	25.598
756	25.663
756.5	25.68
757	25.696
757.5	25.738
758	25.735
758.5	25.734
759	25.763
759.5	25.829
760	25.973
760.5	26.179
761	26.395
761.5	26.539
762	26.677
762.5	26.787
763	26.835
763.5	26.829
764	26.772
764.5	26.697
765	26.651
765.5	26.669
766	26.641
766.5	26.594
767	26.617
767.5	26.611
768	26.611
768.5	26.668
769	26.697
769.5	26.699
770	26.668
770.5	26.623
771	26.662
771.5	26.768
772	26.895
772.5	27
773	27.023
773.5	26.989
774	26.968
774.5	26.973
775	26.996
775.5	27.032
776	27.096
776.5	27.238
777	27.374
777.5	27.45
778	27.51
778.5	27.507
779	27.487
779.5	27.502
780	27.508
780.5	27.474
781	27.466
781.5	27.471
782	27.47
782.5	27.487
783	27.523
783.5	27.567
784	27.678
784.5	27.833
785	27.971
785.5	28.062
786	28.074
786.5	28.044
787	27.979
787.5	27.902
788	27.896
788.5	27.938
789	27.99
789.5	28.082
790	28.166
790.5	28.245
791	28.325
791.5	28.413
792	28.502
792.5	28.572
793	28.651
793.5	28.726
794	28.73
794.5	28.674
795	28.551
795.5	28.452
796	28.445
796.5	28.521
797	28.658
797.5	28.719
798	28.696
798.5	28.678
799	28.697
799.5	28.778
800	28.89
800.5	28.948
801	28.967
801.5	29.016
802	29.033
802.5	29.036
803	29.093
803.5	29.134
804	29.145
804.5	29.171
805	29.157
805.5	29.153
806	29.234
806.5	29.374
807	29.494
807.5	29.45
808	29.38
808.5	29.348
809	29.358
809.5	29.493
810	29.641
810.5	29.607
811	29.546
811.5	29.497
812	29.51
812.5	29.644
813	29.789
813.5	29.785
814	29.719
814.5	29.685
815	29.721
815.5	29.826
816	30.024
816.5	30.155
817	30.2
817.5	30.268
818	30.298
818.5	30.261
819	30.216
819.5	30.224
820	30.25
820.5	30.299
821	30.321
821.5	30.312
822	30.419
822.5	30.512
823	30.642
823.5	30.767
824	30.671
824.5	30.587
825	30.602
825.5	30.624
826	30.595
826.5	30.539
827	30.504
827.5	30.454
828	30.54
828.5	30.71
829	30.829
829.5	30.947
830	31.018
830.5	31.033
831	31.068
831.5	31.098
832	31.103
832.5	31.158
833	31.194
833.5	31.099
834	31.07
834.5	31.088
835	31.099
835.5	31.129
836	31.108
836.5	31.095
837	31.07
837.5	31.042
838	31.088
838.5	31.106
839	31.147
839.5	31.331
840	31.446
840.5	31.529
841	31.578
841.5	31.577
842	31.522
842.5	31.364
843	31.196
843.5	31.193
844	31.279
844.5	31.454
845	31.763
845.5	31.896
846	31.862
846.5	31.824
847	31.764
847.5	31.766
848	31.756
848.5	31.799
849	31.828
849.5	31.786
850	31.794
850.5	31.81
851	31.806
851.5	31.892
852	31.944
852.5	31.964
853	32.062
853.5	32.131
854	32.205
854.5	32.46
855	32.666
855.5	32.769
856	32.715
856.5	32.394
857	31.905
857.5	31.567
858	31.534
858.5	31.691
859	32.033
859.5	32.426
860	32.476
860.5	32.349
861	32.424
861.5	32.457
862	32.466
862.5	32.63
863	32.76
863.5	32.828
864	32.928
864.5	33.008
865	32.984
865.5	32.746
866	32.444
866.5	32.228
867	32.156
867.5	32.248
868	32.415
868.5	32.678
869	32.929
869.5	33.034
870	33.007
870.5	32.937
871	32.649
871.5	32.351
872	32.313
872.5	32.507
873	32.736
873.5	33
874	33.271
874.5	33.351
875	33.289
875.5	33.374
876	33.492
876.5	33.601
