339.5	0.001
340	0.001
340.5	0.001
341	0.001
341.5	0.001
342	0.001
342.5	0.001
343	0.001
343.5	0.001
344	6.525
344.5	3.929
345	2.676
345.5	1.449
346	1.504
346.5	1.943
347	1.781
347.5	1.447
348	1.435
348.5	1.642
349	2.021
349.5	1.835
350	1.51
350.5	1.282
351	1.309
351.5	1.316
352	1.239
352.5	1.276
353	1.312
353.5	1.673
354	1.883
354.5	2.038
355	2.108
355.5	1.891
356	1.73
356.5	1.708
357	1.688
357.5	1.764
358	1.742
358.5	1.793
359	1.901
359.5	1.859
360	1.938
360.5	1.85
361	1.798
361.5	1.917
362	1.937
362.5	1.91
363	1.799
363.5	1.632
364	1.596
364.5	1.873
365	1.993
365.5	2.201
366	2.218
366.5	2.09
367	1.94
367.5	1.801
368	1.634
368.5	1.564
369	1.468
369.5	1.341
370	1.424
370.5	1.518
371	1.681
371.5	1.778
372	1.756
372.5	1.73
373	1.743
373.5	1.676
374	1.529
374.5	1.318
375	1.189
375.5	1.24
376	1.402
376.5	1.53
377	1.598
377.5	1.686
378	1.69
378.5	1.748
379	1.673
379.5	1.632
380	1.654
380.5	1.726
381	1.811
381.5	1.82
382	1.657
382.5	1.693
383	1.826
383.5	1.883
384	1.913
384.5	1.725
385	1.568
385.5	1.561
386	1.588
386.5	1.686
387	1.768
387.5	1.861
388	1.892
388.5	1.883
389	1.807
389.5	1.716
390	1.66
390.5	1.671
391	1.722
391.5	1.738
392	1.831
392.5	1.864
393	1.879
393.5	1.814
394	1.65
394.5	1.554
395	1.516
395.5	1.437
396	1.433
396.5	1.44
397	1.427
397.5	1.471
398	1.478
398.5	1.454
399	1.412
399.5	1.339
400	1.324
400.5	1.364
401	1.5
401.5	1.625
402	1.656
402.5	1.645
403	1.602
403.5	1.575
404	1.577
404.5	1.555
405	1.519
405.5	1.496
406	1.469
406.5	1.463
407	1.424
407.5	1.402
408	1.409
408.5	1.504
409	1.609
409.5	1.662
410	1.654
410.5	1.638
411	1.658
411.5	1.734
412	1.795
412.5	1.774
413	1.696
413.5	1.628
414	1.597
414.5	1.658
415	1.807
415.5	1.917
416	1.983
416.5	1.984
417	1.94
417.5	1.887
418	1.856
418.5	1.852
419	1.841
419.5	1.836
420	1.829
420.5	1.853
421	1.883
421.5	1.949
422	1.967
422.5	1.939
423	1.897
423.5	1.878
424	1.873
424.5	1.911
425	1.94
425.5	1.949
426	1.96
426.5	1.914
427	1.885
427.5	1.934
428	2.024
428.5	2.11
429	2.115
429.5	1.994
430	1.888
430.5	1.853
431	1.944
431.5	1.996
432	2.041
432.5	2.042
433	2.015
433.5	2.035
434	2.046
434.5	2.024
435	2.02
435.5	1.995
436	1.974
436.5	1.972
437	2.021
437.5	2.075
438	2.126
438.5	2.142
439	2.131
439.5	2.116
440	2.105
440.5	2.125
441	2.135
441.5	2.186
442	2.225
442.5	2.239
443	2.23
443.5	2.214
444	2.203
444.5	2.196
445	2.201
445.5	2.183
446	2.178
446.5	2.17
447	2.187
447.5	2.213
448	2.226
448.5	2.252
449	2.28
449.5	2.3
450	2.294
450.5	2.259
451	2.223
451.5	2.212
452	2.221
452.5	2.243
453	2.225
453.5	2.213
454	2.222
454.5	2.221
455	2.225
455.5	2.196
456	2.176
456.5	2.179
457	2.205
457.5	2.216
458	2.217
458.5	2.208
459	2.207
459.5	2.211
460	2.201
460.5	2.186
461	2.195
461.5	2.216
462	2.219
462.5	2.207
463	2.184
463.5	2.185
464	2.203
464.5	2.224
465	2.221
465.5	2.203
466	2.177
466.5	2.153
467	2.158
467.5	2.177
468	2.207
468.5	2.221
469	2.216
469.5	2.212
470	2.202
470.5	2.196
471	2.214
471.5	2.26
472	2.298
472.5	2.32
473	2.321
473.5	2.307
474	2.291
474.5	2.276
475	2.272
475.5	2.274
476	2.294
476.5	2.298
477	2.258
477.5	2.219
478	2.182
478.5	2.175
479	2.193
479.5	2.219
480	2.226
480.5	2.198
481	2.186
481.5	2.184
482	2.2
482.5	2.24
483	2.256
483.5	2.257
484	2.248
484.5	2.238
485	2.228
485.5	2.223
486	2.218
486.5	2.232
487	2.243
487.5	2.25
488	2.252
488.5	2.237
489	2.237
489.5	2.246
490	2.258
490.5	2.274
491	2.284
491.5	2.29
492	2.275
492.5	2.246
493	2.222
493.5	2.208
494	2.225
494.5	2.247
495	2.269
495.5	2.292
496	2.316
496.5	2.349
497	2.373
497.5	2.38
498	2.376
498.5	2.368
499	2.365
499.5	2.364
500	2.363
500.5	2.364
501	2.364
501.5	2.378
502	2.39
502.5	2.407
503	2.429
503.5	2.46
504	2.493
504.5	2.523
505	2.533
505.5	2.536
506	2.55
506.5	2.571
507	2.596
507.5	2.621
508	2.637
508.5	2.666
509	2.702
509.5	2.733
510	2.762
510.5	2.778
511	2.797
511.5	2.818
512	2.841
512.5	2.869
513	2.888
513.5	2.898
514	2.906
514.5	2.938
515	2.987
515.5	3.038
516	3.078
516.5	3.079
517	3.078
517.5	3.086
518	3.114
518.5	3.165
519	3.224
519.5	3.29
520	3.365
520.5	3.431
521	3.496
521.5	3.547
522	3.595
522.5	3.649
523	3.699
523.5	3.747
524	3.793
524.5	3.835
525	3.871
525.5	3.897
526	3.902
526.5	3.902
527	3.927
527.5	3.982
528	4.062
528.5	4.162
529	4.24
529.5	4.296
530	4.337
530.5	4.363
531	4.399
531.5	4.428
532	4.439
532.5	4.447
533	4.462
533.5	4.495
534	4.537
534.5	4.58
535	4.621
535.5	4.674
536	4.722
536.5	4.743
537	4.748
537.5	4.738
538	4.746
538.5	4.771
539	4.802
539.5	4.81
540	4.809
540.5	4.805
541	4.81
541.5	4.85
542	4.888
542.5	4.911
543	4.923
543.5	4.923
544	4.93
544.5	4.957
